2019-10-29 13:32:21.5766 TotalError: 0.007, Region: Isle of Wight, London: False, Error: 0.011, Next: -0.021, Change: -1
2019-10-29 13:32:21.9169 TotalError: 0.007, Region: Hyndburn, London: False, Error: 0.005, Next: 0.007, Change: -1
2019-10-29 13:32:22.5021 TotalError: 0.007, Region: Hertsmere, London: False, Error: 0.004, Next: 0.058, Change: -1
2019-10-29 13:32:23.3552 TotalError: 0.007, Region: Haringey, London: True, Error: 0.006, Next: -0.004, Change: -1
2019-10-29 13:32:23.5560 TotalError: 0.007, Region: Havant, London: False, Error: 0.004, Next: -0.029, Change: -1
2019-10-29 13:32:27.1323 TotalError: 0.007, Region: Knowsley, London: False, Error: 0.003, Next: 0.023, Change: -1
2019-10-29 13:32:27.5262 TotalError: 0.007, Region: Horsham, London: False, Error: 0.005, Next: -0.312, Change: -1
2019-10-29 13:32:27.8324 TotalError: 0.007, Region: Kettering, London: False, Error: 0.006, Next: -0.022, Change: -1
2019-10-29 13:32:27.8452 TotalError: 0.007, Region: Lincolnshire, London: False, Error: 0.009, Next: -0.124, Change: -1
2019-10-29 13:32:28.1201 TotalError: 0.007, Region: Lancaster, London: False, Error: 0.036, Next: -0.087, Change: -1
2019-10-29 13:32:28.2448 TotalError: 0.007, Region: Islington, London: True, Error: 0.002, Next: -0.02, Change: -1
2019-10-29 13:32:29.3997 TotalError: 0.007, Region: Lewes, London: False, Error: 0.005, Next: -0.082, Change: -1
2019-10-29 13:32:29.8385 TotalError: 0.007, Region: High Peak, London: False, Error: 0.003, Next: -0.029, Change: -1
2019-10-29 13:32:29.9930 TotalError: 0.007, Region: Inner London, London: False, Error: 0.004, Next: -0.028, Change: -1
2019-10-29 13:32:30.4600 TotalError: 0.007, Region: Maldon, London: False, Error: 0.004, Next: -0.016, Change: -1
2019-10-29 13:32:30.7379 TotalError: 0.007, Region: Havering, London: True, Error: 0.004, Next: -0.112, Change: -1
2019-10-29 13:32:34.1714 TotalError: 0.007, Region: Liverpool, London: False, Error: 0.003, Next: 0.011, Change: -1
2019-10-29 13:32:34.3581 TotalError: 0.007, Region: Hounslow, London: True, Error: 0.005, Next: -0.677, Change: -1
2019-10-29 13:32:34.3581 TotalError: 0.007, Region: Kensington And Chelsea, London: False, Error: 0.007, Next: 0.031, Change: -1
2019-10-29 13:32:34.6828 TotalError: 0.007, Region: Lambeth, London: True, Error: 0.005, Next: 0.021, Change: -1
2019-10-29 13:32:34.7065 TotalError: 0.007, Region: King's Lynn and West Norfolk , London: False, Error: 0.005, Next: -0.053, Change: -1
2019-10-29 13:32:35.3043 TotalError: 0.007, Region: Leeds, London: False, Error: 0.004, Next: 0.005, Change: -1
2019-10-29 13:32:36.4420 TotalError: 0.007, Region: Ipswich, London: False, Error: 0.006, Next: 0.074, Change: -1
2019-10-29 13:32:36.4738 TotalError: 0.007, Region: Medway, London: False, Error: 0.008, Next: 0.008, Change: -1
2019-10-29 13:32:36.5961 TotalError: 0.007, Region: Lewisham, London: True, Error: 0.006, Next: -0.54, Change: -1
2019-10-29 13:32:37.0921 TotalError: 0.007, Region: Malvern Hills, London: False, Error: 0.007, Next: -0.026, Change: -1
