2019-11-04 13:08:49.8132 TotalError: 0.154, AverageError: 0.002, Region: Broxbourne, London: False, Error: 0.003, Next: -0.042, Change: -1
2019-11-04 13:08:50.7842 TotalError: 0.155, AverageError: 0.002, Region: Cherwell, London: False, Error: 0.001, Next: -0.019, Change: -1
2019-11-04 13:09:07.9018 TotalError: 0.158, AverageError: 0.002, Region: Chiltern, London: False, Error: 0.003, Next: 0.037, Change: -1
2019-11-04 13:09:10.6505 TotalError: 0.159, AverageError: 0.002, Region: Cheshire West and Chester, London: False, Error: 0.001, Next: -0.114, Change: -1
2019-11-04 13:09:11.5684 TotalError: 0.163, AverageError: 0.002, Region: Chichester, London: False, Error: 0.003, Next: -0.077, Change: -1
2019-11-04 13:09:13.4995 TotalError: 0.165, AverageError: 0.002, Region: Carlisle, London: False, Error: 0.002, Next: -0.146, Change: -1
2019-11-04 13:09:14.0042 TotalError: 0.168, AverageError: 0.002, Region: Central Bedfordshire, London: False, Error: 0.003, Next: -0.136, Change: -1
2019-11-04 13:09:14.6420 TotalError: 0.171, AverageError: 0.002, Region: Charnwood, London: False, Error: 0.003, Next: -0.099, Change: -1
2019-11-04 13:09:15.7185 TotalError: 0.172, AverageError: 0.002, Region: Canterbury, London: False, Error: 0.001, Next: -0.053, Change: -1
2019-11-04 13:09:31.4345 TotalError: 0.178, AverageError: 0.002, Region: Cheltenham, London: False, Error: 0.006, Next: -0.019, Change: -1
2019-11-04 13:09:32.1315 TotalError: 0.183, AverageError: 0.002, Region: Christchurch, London: False, Error: 0.005, Next: 0.007, Change: -1
2019-11-04 13:09:32.4726 TotalError: 0.185, AverageError: 0.002, Region: City of Westminster, London: True, Error: 0.003, Next: 0.481, Change: -1
2019-11-04 13:09:34.5432 TotalError: 0.19, AverageError: 0.002, Region: Conwy, London: False, Error: 0.005, Next: -0.107, Change: -1
2019-11-04 13:09:35.1379 TotalError: 0.234, AverageError: 0.003, Region: City of London, London: False, Error: 0.044, Next: 0.412, Change: -1
2019-11-04 13:09:35.3181 TotalError: 0.237, AverageError: 0.003, Region: City of Derby, London: False, Error: 0.002, Next: -0.129, Change: -1
2019-11-04 13:09:35.8002 TotalError: 0.239, AverageError: 0.003, Region: City of Peterborough, London: False, Error: 0.002, Next: -0.149, Change: -1
2019-11-04 13:09:52.4555 TotalError: 0.24, AverageError: 0.003, Region: Chorley, London: False, Error: 0.001, Next: -0.137, Change: -1
2019-11-04 13:09:58.1110 TotalError: 0.242, AverageError: 0.003, Region: Chesterfield, London: False, Error: 0.002, Next: -0.122, Change: -1
2019-11-04 13:09:59.1263 TotalError: 0.245, AverageError: 0.003, Region: Cotswold, London: False, Error: 0.003, Next: -0.029, Change: -1
2019-11-04 13:09:59.1945 TotalError: 0.247, AverageError: 0.003, Region: Crawley, London: False, Error: 0.002, Next: -0.028, Change: -1
2019-11-04 13:10:00.1794 TotalError: 0.249, AverageError: 0.003, Region: Coventry, London: False, Error: 0.002, Next: -0.043, Change: -1
2019-11-04 13:10:00.2758 TotalError: 0.25, AverageError: 0.003, Region: Cumbria, London: False, Error: 0.001, Next: -0.141, Change: -1
2019-11-04 13:10:02.0051 TotalError: 0.253, AverageError: 0.003, Region: Corby, London: False, Error: 0.003, Next: -0.178, Change: -1
2019-11-04 13:10:07.4702 TotalError: 0.257, AverageError: 0.003, Region: City of Nottingham, London: False, Error: 0.004, Next: -0.131, Change: -1
2019-11-04 13:10:07.6515 TotalError: 0.26, AverageError: 0.003, Region: City of Bristol, London: False, Error: 0.003, Next: -0.021, Change: -1
2019-11-04 13:10:08.2317 TotalError: 0.265, AverageError: 0.003, Region: Colchester, London: False, Error: 0.004, Next: -0.047, Change: -1
2019-11-04 13:10:08.9325 TotalError: 0.269, AverageError: 0.003, Region: Copeland, London: False, Error: 0.004, Next: -0.171, Change: -1
2019-11-04 13:10:09.0505 TotalError: 0.272, AverageError: 0.003, Region: City of Kingston upon Hull, London: False, Error: 0.003, Next: -0.134, Change: -1
2019-11-04 13:10:14.2561 TotalError: 0.273, AverageError: 0.003, Region: Dacorum, London: False, Error: 0.001, Next: -0.028, Change: -1
2019-11-04 13:10:36.3804 TotalError: 0.274, AverageError: 0.003, Region: Devon, London: False, Error: 0.001, Next: -0.075, Change: -1
2019-11-04 13:10:36.8808 TotalError: 0.276, AverageError: 0.003, Region: Derbyshire, London: False, Error: 0.002, Next: -0.098, Change: -1
2019-11-04 13:10:43.5308 TotalError: 0.277, AverageError: 0.003, Region: Dartford, London: False, Error: 0.002, Next: -0.076, Change: -1
2019-11-04 13:10:43.5539 TotalError: 0.281, AverageError: 0.003, Region: East Cambridgeshire, London: False, Error: 0.004, Next: -0.044, Change: -1
2019-11-04 13:10:43.7366 TotalError: 0.283, AverageError: 0.003, Region: Daventry, London: False, Error: 0.001, Next: -0.107, Change: -1
2019-11-04 13:10:43.8020 TotalError: 0.286, AverageError: 0.003, Region: Craven, London: False, Error: 0.003, Next: -0.115, Change: -1
2019-11-04 13:10:45.1521 TotalError: 0.288, AverageError: 0.003, Region: Croydon, London: True, Error: 0.003, Next: -0.101, Change: -1
2019-11-04 13:10:45.4799 TotalError: 0.289, AverageError: 0.003, Region: Dorset, London: False, Error: 0.001, Next: -0.123, Change: -1
2019-11-04 13:10:45.7400 TotalError: 0.292, AverageError: 0.003, Region: County Durham, London: False, Error: 0.002, Next: -0.244, Change: -1
2019-11-04 13:10:46.5134 TotalError: 0.294, AverageError: 0.003, Region: East Dorset, London: False, Error: 0.002, Next: 0.015, Change: -1
2019-11-04 13:10:46.9539 TotalError: 0.296, AverageError: 0.003, Region: East Hertfordshire, London: False, Error: 0.002, Next: -0.06, Change: -1
2019-11-04 13:10:47.6764 TotalError: 0.298, AverageError: 0.003, Region: Dudley, London: False, Error: 0.002, Next: -0.12, Change: -1
2019-11-04 13:10:52.5497 TotalError: 0.299, AverageError: 0.003, Region: Cornwall, London: False, Error: 0.001, Next: -0.126, Change: -1
2019-11-04 13:11:13.0869 TotalError: 0.305, AverageError: 0.003, Region: Derbyshire Dales, London: False, Error: 0.006, Next: -0.037, Change: -1
2019-11-04 13:11:16.6893 TotalError: 0.308, AverageError: 0.003, Region: Denbighshire, London: False, Error: 0.004, Next: -0.175, Change: -1
2019-11-04 13:11:17.5857 TotalError: 0.31, AverageError: 0.003, Region: East Devon, London: False, Error: 0.002, Next: -0.054, Change: -1
2019-11-04 13:11:18.1350 TotalError: 0.312, AverageError: 0.003, Region: East Northamptonshire, London: False, Error: 0.002, Next: -0.114, Change: -1
2019-11-04 13:11:18.1595 TotalError: 0.316, AverageError: 0.003, Region: East Staffordshire, London: False, Error: 0.003, Next: -0.11, Change: -1
2019-11-04 13:11:20.1057 TotalError: 0.322, AverageError: 0.003, Region: Eden, London: False, Error: 0.006, Next: -0.21, Change: -1
2019-11-04 13:11:20.6196 TotalError: 0.325, AverageError: 0.003, Region: Eastbourne, London: False, Error: 0.003, Next: -0.11, Change: -1
2019-11-04 13:11:20.7368 TotalError: 0.327, AverageError: 0.003, Region: City of Plymouth, London: False, Error: 0.002, Next: -0.107, Change: -1
2019-11-04 13:11:21.3939 TotalError: 0.329, AverageError: 0.003, Region: Doncaster, London: False, Error: 0.002, Next: -0.177, Change: -1
2019-11-04 13:11:21.7589 TotalError: 0.332, AverageError: 0.003, Region: East Hampshire, London: False, Error: 0.003, Next: -0.113, Change: -1
2019-11-04 13:11:22.2800 TotalError: 0.333, AverageError: 0.003, Region: Ealing, London: True, Error: 0.001, Next: 0.12, Change: -1
2019-11-04 13:11:22.5136 TotalError: 0.335, AverageError: 0.003, Region: Dover, London: False, Error: 0.002, Next: -0.122, Change: -1
2019-11-04 13:11:22.6427 TotalError: 0.337, AverageError: 0.003, Region: East Lindsey, London: False, Error: 0.002, Next: -0.165, Change: -1
2019-11-04 13:11:46.8934 TotalError: 0.339, AverageError: 0.003, Region: Fenland, London: False, Error: 0.002, Next: -0.202, Change: -1
2019-11-04 13:11:48.5911 TotalError: 0.341, AverageError: 0.003, Region: Enfield, London: True, Error: 0.002, Next: -0.01, Change: -1
2019-11-04 13:11:51.7340 TotalError: 0.344, AverageError: 0.003, Region: Erewash, London: False, Error: 0.003, Next: -0.113, Change: -1
2019-11-04 13:11:53.1239 TotalError: 0.346, AverageError: 0.003, Region: Elmbridge, London: False, Error: 0.002, Next: 0.094, Change: -1
2019-11-04 13:11:53.6947 TotalError: 0.348, AverageError: 0.003, Region: Gwynedd, London: False, Error: 0.002, Next: -0.12, Change: -1
2019-11-04 13:11:53.7582 TotalError: 0.351, AverageError: 0.003, Region: Forest of Dean, London: False, Error: 0.002, Next: -0.153, Change: -1
2019-11-04 13:11:54.0309 TotalError: 0.353, AverageError: 0.003, Region: East Sussex, London: False, Error: 0.002, Next: -0.078, Change: -1
2019-11-04 13:11:54.0445 TotalError: 0.354, AverageError: 0.003, Region: East Riding of Yorkshire, London: False, Error: 0.001, Next: -0.164, Change: -1
2019-11-04 13:11:54.9582 TotalError: 0.356, AverageError: 0.003, Region: Gloucester, London: False, Error: 0.001, Next: -0.113, Change: -1
2019-11-04 13:11:55.1467 TotalError: 0.357, AverageError: 0.003, Region: Cheshire East, London: False, Error: 0.002, Next: -0.142, Change: -1
2019-11-04 13:11:56.0129 TotalError: 0.359, AverageError: 0.003, Region: Eastleigh, London: False, Error: 0.002, Next: -0.054, Change: -1
