2019-11-04 14:47:05.8935 TotalError: 0.165, AverageError: 0.003, Region: Buckinghamshire, London: False, Error: 0.002, Next: 0.257, Change: -1
2019-11-04 14:47:06.3379 TotalError: 0.168, AverageError: 0.003, Region: Canterbury, London: False, Error: 0.004, Next: 0.286, Change: -1
2019-11-04 14:47:07.3314 TotalError: 0.17, AverageError: 0.003, Region: Cambridgeshire, London: False, Error: 0.002, Next: 0.383, Change: -1
2019-11-04 14:47:08.6438 TotalError: 0.171, AverageError: 0.003, Region: Central Bedfordshire, London: False, Error: 0.001, Next: 0.146, Change: -1
2019-11-04 14:47:10.4099 TotalError: 0.172, AverageError: 0.003, Region: Charnwood, London: False, Error: 0.002, Next: 0.021, Change: -1
2019-11-04 14:47:14.1487 TotalError: 0.174, AverageError: 0.003, Region: Cannock Chase, London: False, Error: 0.002, Next: -0, Change: -1
2019-11-04 14:47:15.0467 TotalError: 0.175, AverageError: 0.003, Region: Cheshire East, London: False, Error: 0.001, Next: 0.051, Change: -1
2019-11-04 14:47:27.3816 TotalError: 0.18, AverageError: 0.003, Region: Chesterfield, London: False, Error: 0.004, Next: 0.006, Change: -1
2019-11-04 14:47:27.6299 TotalError: 0.184, AverageError: 0.003, Region: Castle Point, London: False, Error: 0.004, Next: 0.129, Change: -1
2019-11-04 14:47:27.9228 TotalError: 0.188, AverageError: 0.003, Region: Christchurch, London: False, Error: 0.004, Next: 0.176, Change: -1
2019-11-04 14:47:28.4623 TotalError: 0.191, AverageError: 0.003, Region: Chiltern, London: False, Error: 0.003, Next: 0.315, Change: -1
2019-11-04 14:47:36.4991 TotalError: 0.192, AverageError: 0.003, Region: City of Nottingham, London: False, Error: 0.001, Next: -0.065, Change: -1
2019-11-04 14:47:36.7992 TotalError: 0.194, AverageError: 0.003, Region: City of Kingston upon Hull, London: False, Error: 0.002, Next: 0.131, Change: -1
2019-11-04 14:47:37.8213 TotalError: 0.197, AverageError: 0.003, Region: Broadland, London: False, Error: 0.002, Next: 0.137, Change: -1
2019-11-04 14:47:39.0180 TotalError: 0.2, AverageError: 0.003, Region: City of Plymouth, London: False, Error: 0.003, Next: 0.039, Change: -1
2019-11-04 14:47:41.0166 TotalError: 0.204, AverageError: 0.003, Region: Cambridge, London: False, Error: 0.005, Next: 0.669, Change: -1
2019-11-04 14:47:41.0913 TotalError: 0.206, AverageError: 0.003, Region: City of Derby, London: False, Error: 0.002, Next: -0.015, Change: -1
2019-11-04 14:47:42.0535 TotalError: 0.209, AverageError: 0.003, Region: Colchester, London: False, Error: 0.003, Next: 0.075, Change: -1
2019-11-04 14:47:47.2784 TotalError: 0.212, AverageError: 0.003, Region: City of Bristol, London: False, Error: 0.003, Next: 0.291, Change: -1
2019-11-04 14:47:48.2276 TotalError: 0.216, AverageError: 0.003, Region: Copeland, London: False, Error: 0.004, Next: 0.035, Change: -1
2019-11-04 14:47:48.7552 TotalError: 0.219, AverageError: 0.003, Region: Chichester, London: False, Error: 0.004, Next: 0.215, Change: -1
2019-11-04 14:48:03.8606 TotalError: 0.22, AverageError: 0.003, Region: Cheshire West and Chester, London: False, Error: 0.001, Next: -0.021, Change: -1
2019-11-04 14:48:04.6202 TotalError: 0.223, AverageError: 0.003, Region: Chelmsford, London: False, Error: 0.003, Next: 0.221, Change: -1
2019-11-04 14:48:04.9013 TotalError: 0.224, AverageError: 0.003, Region: Cornwall, London: False, Error: 0.002, Next: 0.004, Change: -1
2019-11-04 14:48:06.5375 TotalError: 0.229, AverageError: 0.003, Region: Chorley, London: False, Error: 0.004, Next: -0.081, Change: -1
2019-11-04 14:48:07.0934 TotalError: 0.232, AverageError: 0.003, Region: Daventry, London: False, Error: 0.003, Next: 0.04, Change: -1
2019-11-04 14:48:07.1676 TotalError: 0.247, AverageError: 0.003, Region: Ceredigion, London: False, Error: 0.015, Next: -0.036, Change: -1
2019-11-04 14:48:08.1278 TotalError: 0.309, AverageError: 0.004, Region: City of London, London: True, Error: 0.062, Next: 1.738, Change: -1
2019-11-04 14:48:12.8858 TotalError: 0.311, AverageError: 0.004, Region: City of Peterborough, London: False, Error: 0.002, Next: 0.007, Change: -1
2019-11-04 14:48:14.1826 TotalError: 0.314, AverageError: 0.004, Region: County Durham, London: False, Error: 0.002, Next: -0.174, Change: -1
2019-11-04 14:48:17.8128 TotalError: 0.316, AverageError: 0.004, Region: Croydon, London: True, Error: 0.002, Next: 0.306, Change: -1
2019-11-04 14:48:18.4686 TotalError: 0.324, AverageError: 0.004, Region: City of Westminster, London: True, Error: 0.008, Next: 1.382, Change: -1
2019-11-04 14:48:19.4992 TotalError: 0.327, AverageError: 0.004, Region: Craven, London: False, Error: 0.003, Next: 0.001, Change: -1
2019-11-04 14:48:20.4546 TotalError: 0.329, AverageError: 0.004, Region: Dartford, London: False, Error: 0.002, Next: 0.224, Change: -1
2019-11-04 14:48:20.7431 TotalError: 0.331, AverageError: 0.004, Region: Dacorum, London: False, Error: 0.002, Next: 0.321, Change: -1
2019-11-04 14:48:32.6952 TotalError: 0.332, AverageError: 0.003, Region: Dudley, London: False, Error: 0.001, Next: -0.004, Change: -1
2019-11-04 14:48:32.9541 TotalError: 0.336, AverageError: 0.004, Region: Cotswold, London: False, Error: 0.004, Next: 0.099, Change: -1
2019-11-04 14:48:33.2848 TotalError: 0.339, AverageError: 0.003, Region: East Cambridgeshire, London: False, Error: 0.003, Next: 0.216, Change: -1
2019-11-04 14:48:37.0118 TotalError: 0.342, AverageError: 0.003, Region: Dorset, London: False, Error: 0.002, Next: 0.112, Change: -1
2019-11-04 14:48:38.9708 TotalError: 0.353, AverageError: 0.004, Region: Corby, London: False, Error: 0.011, Next: 0.142, Change: -1
2019-11-04 14:48:39.0893 TotalError: 0.356, AverageError: 0.004, Region: Doncaster, London: False, Error: 0.004, Next: -0.11, Change: -1
2019-11-04 14:48:39.1201 TotalError: 0.363, AverageError: 0.004, Region: Derbyshire Dales, London: False, Error: 0.006, Next: 0.041, Change: -1
2019-11-04 14:48:39.4472 TotalError: 0.364, AverageError: 0.004, Region: Cardiff, London: False, Error: 0.001, Next: 0.027, Change: -1
2019-11-04 14:48:39.5473 TotalError: 0.367, AverageError: 0.004, Region: Denbighshire, London: False, Error: 0.004, Next: -0.072, Change: -1
2019-11-04 14:48:39.5878 TotalError: 0.37, AverageError: 0.004, Region: East Dorset, London: False, Error: 0.003, Next: 0.102, Change: -1
2019-11-04 14:49:00.0886 TotalError: 0.371, AverageError: 0.004, Region: Coventry, London: False, Error: 0.001, Next: 0.038, Change: -1
2019-11-04 14:49:02.1343 TotalError: 0.372, AverageError: 0.004, Region: East Riding of Yorkshire, London: False, Error: 0.001, Next: -0.037, Change: -1
2019-11-04 14:49:02.6093 TotalError: 0.375, AverageError: 0.004, Region: East Hertfordshire, London: False, Error: 0.003, Next: 0.276, Change: -1
2019-11-04 14:49:02.7048 TotalError: 0.378, AverageError: 0.004, Region: Cumbria, London: False, Error: 0.003, Next: 0.014, Change: -1
2019-11-04 14:49:03.6709 TotalError: 0.379, AverageError: 0.003, Region: Ealing, London: True, Error: 0.001, Next: 0.622, Change: -1
2019-11-04 14:49:03.7376 TotalError: 0.382, AverageError: 0.003, Region: East Devon, London: False, Error: 0.002, Next: 0.024, Change: -1
2019-11-04 14:49:04.4630 TotalError: 0.384, AverageError: 0.003, Region: East Northamptonshire, London: False, Error: 0.003, Next: 0.063, Change: -1
2019-11-04 14:49:04.7381 TotalError: 0.387, AverageError: 0.003, Region: Darlington, London: False, Error: 0.003, Next: -0.116, Change: -1
2019-11-04 14:49:05.4146 TotalError: 0.389, AverageError: 0.003, Region: Crawley, London: False, Error: 0.002, Next: 0.236, Change: -1
2019-11-04 14:49:06.3716 TotalError: 0.394, AverageError: 0.003, Region: Camden, London: True, Error: 0.004, Next: 1.114, Change: -1
2019-11-04 14:49:20.2345 TotalError: 0.397, AverageError: 0.003, Region: Conwy, London: False, Error: 0.004, Next: -0.018, Change: -1
2019-11-04 14:49:20.8261 TotalError: 0.4, AverageError: 0.003, Region: Epping Forest, London: False, Error: 0.003, Next: 0.424, Change: -1
2019-11-04 14:49:20.8409 TotalError: 0.402, AverageError: 0.003, Region: England and Wales, London: False, Error: 0.001, Next: 0.31, Change: -1
2019-11-04 14:49:24.8438 TotalError: 0.403, AverageError: 0.003, Region: East Sussex, London: False, Error: 0.001, Next: 0.139, Change: -1
2019-11-04 14:49:26.8317 TotalError: 0.405, AverageError: 0.003, Region: East Staffordshire, London: False, Error: 0.002, Next: 0.02, Change: -1
2019-11-04 14:49:28.8680 TotalError: 0.408, AverageError: 0.003, Region: East Lindsey, London: False, Error: 0.004, Next: -0.046, Change: -1
2019-11-04 14:49:31.7852 TotalError: 0.412, AverageError: 0.003, Region: Elmbridge, London: False, Error: 0.003, Next: 0.506, Change: -1
2019-11-04 14:49:33.0618 TotalError: 0.413, AverageError: 0.003, Region: Eastleigh, London: False, Error: 0.002, Next: 0.153, Change: -1
2019-11-04 14:49:35.0288 TotalError: 0.416, AverageError: 0.003, Region: Devon, London: False, Error: 0.002, Next: 0.051, Change: -1
2019-11-04 14:49:35.7483 TotalError: 0.418, AverageError: 0.003, Region: Derbyshire, London: False, Error: 0.003, Next: 0.041, Change: -1
2019-11-04 14:49:43.5414 TotalError: 0.42, AverageError: 0.003, Region: Epsom and Ewell, London: False, Error: 0.002, Next: 0.424, Change: -1
2019-11-04 14:49:43.8046 TotalError: 0.423, AverageError: 0.003, Region: Exeter, London: False, Error: 0.003, Next: 0.169, Change: -1
2019-11-04 14:49:44.4779 TotalError: 0.424, AverageError: 0.003, Region: Essex, London: False, Error: 0.001, Next: 0.198, Change: -1
2019-11-04 14:49:49.4385 TotalError: 0.427, AverageError: 0.003, Region: Gosport, London: False, Error: 0.003, Next: 0.091, Change: -1
2019-11-04 14:49:50.9413 TotalError: 0.431, AverageError: 0.003, Region: Great Yarmouth, London: False, Error: 0.005, Next: 0.008, Change: -1
2019-11-04 14:49:52.6973 TotalError: 0.434, AverageError: 0.003, Region: Folkestone and Hythe, London: False, Error: 0.003, Next: 0.084, Change: -1
2019-11-04 14:49:52.8227 TotalError: 0.436, AverageError: 0.003, Region: Gateshead, London: False, Error: 0.002, Next: -0.015, Change: -1
2019-11-04 14:49:52.8661 TotalError: 0.438, AverageError: 0.003, Region: Forest of Dean, London: False, Error: 0.003, Next: -0.026, Change: -1
2019-11-04 14:49:53.2623 TotalError: 0.44, AverageError: 0.003, Region: Gloucester, London: False, Error: 0.002, Next: 0.026, Change: -1
2019-11-04 14:49:57.0123 TotalError: 0.444, AverageError: 0.003, Region: Fenland, London: False, Error: 0.004, Next: -0.02, Change: -1
2019-11-04 14:50:04.8583 TotalError: 0.448, AverageError: 0.003, Region: Erewash, London: False, Error: 0.003, Next: 0.001, Change: -1
2019-11-04 14:50:05.4609 TotalError: 0.449, AverageError: 0.003, Region: Fareham, London: False, Error: 0.001, Next: 0.16, Change: -1
2019-11-04 14:50:09.0583 TotalError: 0.45, AverageError: 0.003, Region: Eastbourne, London: False, Error: 0.002, Next: 0.143, Change: -1
2019-11-04 14:50:11.4498 TotalError: 0.454, AverageError: 0.003, Region: Hammersmith and Fulham, London: True, Error: 0.003, Next: 1.036, Change: -1
